Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
2010-02-04,263.63909912109375,269.0639230803063,261.4263394002459,268.72486749850464,2716612,267.99508968672217,268.0462809526802,267.85018623558165,267.7110916381011
2010-02-05,258.2140808105469,262.31838202591837,255.75149136804862,262.31838202591837,4607118,267.0635650318483,267.6607044765181,267.659372266769,267.61659401792645
2010-02-08,258.44610595703125,262.22919277753067,252.73577307586012,260.1770418983598,4170344,266.2428546437705,267.2993476718324,267.4769313497445,267.52534538050463
2010-02-09,262.3720397949219,264.79892765259933,257.33979433943404,258.7495375558607,3005894,265.8742056105468,267.10611991195356,267.37584438826286,267.47406870801126
2010-02-10,261.3548889160156,265.42351128941857,259.85592163196196,264.06731109268395,2337374,265.44379449678195,266.8805814415246,267.25661754722825,267.4131813468969
2010-02-11,265.06658935546875,266.9402928309553,262.31848656811576,263.3713338300285,2413156,265.40787019760927,266.80944449697336,267.2132506523419,267.38983217285283
2010-02-15,266.29791259765625,267.67195324436426,263.5854904015271,267.67195324436426,1956482,265.4926361404709,266.78938442249034,267.1951251463085,267.37896730145786
2010-02-16,270.5806884765625,273.00757671688893,264.8881933961547,266.6905136887324,1660490,265.97721255343197,266.93806301284616,267.2621660043333,267.41082522359824
2010-02-17,270.7590637207031,274.078190994683,268.58198581779925,272.98966293482874,2528290,266.43262695031495,267.0879061778602,267.33141150366737,267.4441410295396
2010-02-18,270.8126525878906,273.72136340198534,269.6349002656735,271.2409321004789,1814806,266.84977224913166,267.23397466452803,267.4003469706817,267.4776585574834
2010-02-19,267.8681640625,271.062386135948,266.1729088496682,269.4206740115354,2215880,266.94676194564295,267.2588448369975,267.4096106754702,267.48154418439896
2010-02-22,270.259521484375,272.56150525808334,269.0282258116282,270.17029747596155,2143460,267.2622628540936,267.37651843101236,267.4660445528743,267.5091857495729
2010-02-23,271.9904479980469,273.0254551688314,268.11813489618896,270.88407904986013,1853052,267.7125662011368,267.5574568454059,267.55563670030347,267.55377542368706
2010-02-24,273.15032958984375,275.0597361528356,268.42145785466846,269.8133608900008,4076058,268.2304484286327,267.77678518832505,267.66642269811615,267.60946252981796
2010-02-25,273.47149658203125,274.7384727315792,271.6870169958516,274.7384727315792,2672984,268.7295958718135,268.00010720376457,267.7813746562135,267.6677912268549
2010-02-26,271.8832702636719,277.86127610495595,266.29786295053856,273.77481402397643,3015934,269.02994581389527,268.15238810807466,267.8626003118067,267.70973629189785
2010-03-02,272.38299560546875,274.4529877756149,269.45644443509656,271.9547161053557,4053352,269.34928388928324,268.3182942844431,267.95211308989906,267.75623638457023
2010-03-03,274.3636169433594,276.2373196932164,272.7219051519981,274.45284088382874,2754742,269.82683941824286,268.5553657612633,268.07907356224484,267.8219814647572
2010-03-04,272.63275146484375,274.8098074600156,270.1701613600413,274.0960157523272,2053606,270.09406913696677,268.7152632398351,268.16924540190024,267.869849822967
2010-03-05,272.16888427734375,273.72139496660645,271.29450649301344,273.02544340129583,1287312,270.29167057890743,268.8506993589531,268.248446171711,267.9126262851996
2010-03-08,272.20452880859375,274.8098647279462,271.3479698675908,273.95330578694325,3015740,270.4738475531633,268.9822220824684,268.32678444174826,267.9553317829449
2010-03-09,274.345947265625,277.8435235522889,272.31163580012384,272.31163580012384,3457732,270.84261895435014,269.1925642465138,268.4459757847953,268.0189199967029
2010-03-10,278.3966064453125,279.9669569155655,271.24084893209795,272.5613679480115,4587874,271.5620463344418,269.55350707783924,268.6430179760926,268.1221805583806
2010-03-11,282.51873779296875,283.6965114896985,275.5057476177512,278.39659520399454,3214030,272.6055407590634,270.0619474980404,268.9177847051397,268.2654298840979
2010-03-12,284.4281921386719,285.5167202780927,282.66155307531176,285.5167202780927,2510976,273.73150755712135,270.6253296408103,269.22492148600173,268.4262533891186
2010-03-15,291.9408874511719,292.6546793520305,282.3582398954251,284.428232051275,6054434,275.4657342136976,271.4612338686676,269.67474259422295,268.6602298474475
2010-03-16,295.8667297363281,296.9195770998705,291.15569904371785,293.190010227254,3088856,277.4086861682338,272.41831213798764,270.1933958049577,268.93094128912793
2010-03-17,300.0424499511719,301.8983133741754,296.2236586695149,297.65124256671737,4174794,279.56428271898983,273.5016116600733,270.7844661840906,269.24050853949655
2010-03-18,294.74261474609375,301.57718329378633,292.83322945864103,301.57718329378633,3724554,281.00983815014257,274.3345921732506,271.2588849674966,269.49426084005967
2010-03-19,292.9759216308594,297.8118578516744,287.3904907746134,287.3904907746134,4716624,282.14946514830604,275.065624701,271.68892529746415,269.72790920613727
2010-03-22,295.3670654296875,297.5798245708686,287.7116650935997,290.8345045072669,3310110,283.40828422272335,275.86175963153676,272.15779935948837,269.9830251884611
2010-03-23,295.7419128417969,297.29440190557256,293.40422634862796,296.22371378346367,1694964,284.582915519778,276.6413734829195,272.6248115076529,270.2393325282953
2010-03-25,296.1523132324219,298.6505853740505,291.94094455031734,294.1180015604548,5517582,285.68476292098217,277.4065083750569,273.09070263091564,270.49717313231645
2010-03-26,294.4569396972656,298.36495391681035,293.4754760330656,296.2235786494648,1997806,286.52020832824724,278.0751527406337,273.5137964342097,270.7355787697786
2010-03-29,289.7816467285156,295.97378222996883,288.56819188670084,294.0822382097738,3443266,286.8308215092252,278.53423093623695,273.8359320836019,270.92509188379586
2010-03-30,285.51678466796875,291.26280124613083,284.4996398358699,288.58608138986864,3097160,286.70567514339126,278.80805657277546,274.06723609517354,271.0702828567727
2010-03-31,278.61083984375,288.1042636649865,277.41522530801643,285.5167679553908,7083046,285.9347384481873,278.80032258340196,274.1572084466305,271.14531327455353
2010-04-01,288.30059814453125,289.0143901784534,279.1283661519903,280.64517422407494,5781432,286.1600584192677,279.1728824093286,274.4372755693612,271.3160126264936
2010-04-05,286.71240234375,291.58404161771927,285.2491374087664,291.58404161771927,3001836,286.2126626025518,279.46854985773734,274.6803473866758,271.46921053412797
2010-04-06,284.1071472167969,288.69327535200614,282.7152654420066,288.69327535200614,3702366,286.012137327718,279.650455636524,274.86701669024256,271.59496114788584
2010-04-07,284.82080078125,288.72881568392074,278.789272460492,281.94779281866175,3024558,285.89867670424485,279.8532142696505,275.064121325708,271.7265615422477
2010-04-08,285.32049560546875,288.19350388820925,281.9478242373812,284.08920011766514,4494438,285.84361183769477,280.06761745929043,275.2672178460993,271.86182456775236
2010-04-09,282.51873779296875,288.3361574025095,281.3231454440986,286.23046323649487,3018012,285.5269571667685,280.16373982531707,275.41081230049275,271.96786350531676
2010-04-12,284.8386535644531,285.5167645936432,281.9834859185167,282.30470099196475,2869882,285.4614044427385,280.34706977587143,275.5975022265118,272.0959310680943
2010-04-13,292.95806884765625,294.0109163897811,280.96637212626905,285.5167960635316,8404916,286.1753724813021,280.8416187590787,275.9412758229701,272.3035145285874
2010-04-15,293.26141357421875,297.9724445849565,292.31563057053256,293.36847800517177,4290952,286.85023353777035,281.328669536143,276.28424884774734,272.5120508374992
2010-04-16,290.9057922363281,295.5097573135485,289.74588074928823,292.2976947340534,3810958,287.23647722334726,281.704242975366,276.5737843603925,272.69507313997514
2010-04-19,289.7816467285156,294.4391341299313,285.78440806611206,289.0856953275689,6947704,287.4788743190776,282.02100390686206,276.8353261894642,272.8650887975725
2010-04-20,281.76947021484375,297.16954560294755,280.8772299671717,294.43928173178733,12016986,286.93512154724584,282.0111398405084,276.93303201174894,272.9536896076946
2010-04-21,280.16339111328125,285.1599356681678,278.46813492501616,283.7323515096288,7107490,286.29019483924924,281.9386791061073,276.99699951870997,273.0254279311333
2010-04-22,280.5024719238281,283.2505760327024,278.73583201217986,281.626681479817,4751116,285.7389831330187,281.8823572558219,277.06641481386083,273.09982637882183
2010-04-23,278.4502258300781,282.66159370284925,277.4866024039965,281.2518503372114,4306068,285.04481577083385,281.74776386657703,277.0938170122018,273.15306418430697
2010-04-26,280.1990966796875,282.3047922122528,278.4503190013945,280.5203118569288,2512548,284.5833187145342,281.68703182003236,277.15530769868667,273.22317396038045
2010-04-27,280.9841613769531,281.9121038650197,278.7535618140991,280.5023605846562,2621234,284.2405418252407,281.65946827324495,277.23112658340483,273.30039771576924
2010-04-28,274.9168701171875,279.7885072045632,273.0253264604402,278.37876423417435,2400382,283.3525730911404,281.39505265928193,277.18529972268766,273.3164820182709
2010-04-29,271.1518249511719,276.68371476590454,269.6706973520077,276.6301716350585,4622964,282.1905970778101,280.9933574550423,277.0658249747368,273.2949431419814
2010-04-30,273.1680603027344,275.80907621343357,272.1508941794749,273.02529326618134,3690224,281.3313078611362,280.6864830569126,276.98864151588526,273.293680626168
2010-05-03,273.667724609375,275.30945853641623,269.13514310371653,271.6869570623082,2416560,280.60144278953993,280.4112376275974,276.9228807850633,273.29740245684667
2010-05-04,271.5978088378906,276.5408088662729,270.098841541541,276.5408088662729,2896028,279.7439538417638,280.06561296917755,276.8174338158123,273.28049107755356
2010-05-05,273.2930603027344,274.0960761508325,264.15653314431955,267.6719493660474,4371230,279.1295830285229,279.80002266853273,276.7476442412959,273.2806161444708
2010-05-06,273.7748718261719,275.13109384932926,270.95540691895496,274.0782464505939,2580872,278.61961053306095,279.56374224334206,276.6887774607984,273.28553411145293
2010-05-07,264.602783203125,272.16896326669024,262.3186393984802,270.17035377503333,4267152,277.2846745968766,278.9770379672551,276.44945084183456,273.1991385800268
2010-05-10,274.8990478515625,300.86322277035663,265.8874270034587,271.2408651310451,2327814,277.0574720497038,278.81711678624754,276.41874979252225,273.2160531001416
2010-05-11,269.9205017089844,278.02204710448586,269.0639641844923,276.59446278045766,1351288,276.3777605886829,278.4682299204725,276.2900716126502,273.1832615440107
2010-05-12,271.0445556640625,274.07817036695684,268.0644622683618,270.17015648129535,2740076,275.86983631014766,278.17710543982895,276.1862000097079,273.1619808884888
2010-05-13,273.23944091796875,275.9518623175573,271.75833628155004,273.0609930015429,1321452,275.6193224632735,277.98347153701087,276.12784834452486,273.1627516350508
2010-05-14,272.614990234375,277.30818116427133,269.45646947107446,273.3823253176729,2026996,275.3331955843308,277.7729428584761,276.0582867977892,273.1573012728551
2010-05-17,266.15509033203125,276.5764539078392,261.9972448069958,276.5764539078392,3722050,274.45909032220703,277.3173407986155,275.86218389747717,273.0876275321504
2010-05-18,262.3542175292969,266.2443922962355,259.21353736555255,266.2443922962355,3199180,273.3062452943108,276.73055165079904,275.59469941493893,272.98082743261955
2010-05-19,257.5004577636719,261.60476166427094,255.64459425197785,260.53407369020164,3929266,271.80093219615475,275.97643032189205,275.2363976000624,272.8267939035753
2010-05-20,260.5339660644531,261.3548221488394,255.59096733938443,260.17707022052923,2398092,270.7278878026594,275.370843488267,274.94526034193154,272.7044772086587
2010-05-21,256.5010986328125,259.07075357911185,244.5629259117121,253.39609981366743,2675092,269.3729555007692,274.63085349393543,274.5800294169985,272.5432495611378
2010-05-24,256.1085205078125,260.53403892335206,254.3597434534523,258.749559204699,2885428,268.10967597763045,273.9044874944796,274.21425696335126,272.3797199188162
2010-05-25,249.66664123535156,254.8237937998471,246.8114726773701,252.68241738136098,2297366,266.3531964783658,272.95398371961187,273.7281655627968,272.15371913589615
2010-05-26,263.38909912109375,265.81598619267163,251.29032284656392,252.6822251730818,3689464,266.070901491959,272.5788902059445,273.5234315738522,272.06650898649514
2010-05-27,264.76336669921875,267.6542382187519,259.5348518325088,262.3186370940074,6883872,265.94637436884085,272.2723990880337,273.3499649426713,271.99384090403464
2010-05-28,267.95751953125,268.92114311337997,262.49701494345186,267.60062352180955,2479374,266.137912003356,272.10318812502254,273.2431838454154,271.9536785023154
2010-05-31,265.19146728515625,268.70690461410237,263.389147529298,267.13655409983676,3327660,266.0477744111465,271.8321402489494,273.0837439135291,271.8863928185626
2010-06-01,263.8175354003906,268.3679595356826,262.21150335264053,265.19157632796197,3136912,265.83537069583645,271.5178420195942,272.9002546360412,271.8061056800734
2010-06-02,269.18878173828125,271.06248555548507,262.7824948066299,263.31783875440243,2769330,266.15474317606925,271.4265063222878,272.8267601232142,271.780062655777
2010-06-03,273.1860046386719,274.45298088298716,265.9231591097549,271.2409173876076,1684434,266.8243871248886,271.4955062562637,272.8338738759956,271.7940521282436
2010-06-04,273.15032958984375,274.70284017282245,269.52784846263063,273.1860322577662,1368210,267.4268578358367,271.56040128895313,272.84014032577477,271.80754742636896
2010-06-07,268.8319396972656,270.45581230792965,262.6754830629771,267.6363466873671,1734922,267.5606751559728,271.4534027951615,272.7607700162993,271.77793938926345
2010-06-08,267.7433166503906,271.9546840413734,266.6012453791417,269.09951675484984,2242222,267.57806958401255,271.30790922085674,272.6614145041031,271.7377938893742
2010-06-09,261.6225891113281,270.72343643884085,260.89095672203115,268.38577216821807,4867400,267.01088096756644,270.9280927459733,272.442823902266,271.6371450856126
2010-06-10,267.85040283203125,268.7426426815717,260.5340360657999,260.5340360657999,1796036,267.0908354308488,270.80739902385795,272.3518848711723,271.5994660582138
2010-06-11,270.91973876953125,272.4187062923262,268.0288899480859,271.8833623044139,3237024,267.4554928916757,270.81180450408044,272.32352554242686,271.592702602605
2010-06-14,278.7356872558594,280.91274344944486,270.5270818693232,272.4364661481303,3550492,268.52979711683605,271.1225450041502,272.4504990417027,271.66377707676673
2010-06-15,278.4085998535156,282.62417230730426,274.9743905358171,274.9743905358171,2642976,269.4706354727103,271.4082726453018,272.568481235996,271.730889741212
