Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,26.297935485839844,26.496659929930644,25.65207788389674,25.65207788389674,212976
2002-08-13,25.941892623901367,26.753354585695227,25.751448836201934,26.331063440232203,153576
2002-08-14,24.15336036682129,25.999845175868913,23.664826222555455,25.999845175868913,822776
2002-08-15,24.15336036682129,24.15336036682129,24.15336036682129,24.15336036682129,0
2002-08-16,24.09540557861328,25.171832631953393,23.681395173482468,24.02916492455994,811856
2002-08-19,23.49922752380371,24.294127937333634,23.275663440788854,24.294127937333634,205880
2002-08-20,24.15336036682129,25.652075535360723,23.50750282400867,23.664826222555455,3773624
2002-08-21,25.337427139282227,25.966723220674147,24.194759867297492,25.486469817569624,3011064
2002-08-22,26.43042755126953,27.53997502722255,26.04125672615236,26.173740572591345,6732480
2002-08-23,28.02021598815918,28.89791831042095,26.339335217546704,26.662262739127637,4841672
2002-08-26,27.920867919921875,28.64952535755432,27.69730124884948,28.467359734686486,2576912
2002-08-27,27.225317001342773,29.311929976541933,26.99347223828438,28.152701107413158,3694224
2002-08-28,27.250160217285156,27.556526342987706,26.687104656646273,27.142516016158453,1674960
2002-08-29,27.250160217285156,27.738691897559978,26.99347330926732,27.084556086553455,1236544
2002-08-30,29.179454803466797,29.891553253391248,27.324688569582026,27.332969283623306,3762384
2002-09-02,29.477529525756836,30.454592695899553,29.17944164314648,29.643133624216144,2389568
2002-09-03,28.094741821289062,29.767344674695916,27.821495996377823,29.643141567569227,986784
2002-09-04,28.70747947692871,28.98072530474886,27.41576664367616,27.73869422025962,1449856
2002-09-05,28.533597946166992,29.717666707318138,28.152707863802338,29.58518287081056,1061360
2002-09-06,27.47372817993164,28.649518685900897,27.167362010713493,28.649518685900897,907472
2002-09-09,27.1176700592041,28.27689870295634,26.165446530407625,26.165446530407625,880848
2002-09-10,27.1176700592041,27.1176700592041,27.1176700592041,27.1176700592041,0
2002-09-11,27.804914474487305,28.285167657744246,27.266701399281374,27.266701399281374,635936
2002-09-12,27.945693969726562,28.63295002547403,27.755250251218676,28.144418399238752,781968
2002-09-13,27.150798797607422,27.97053880182909,26.918954007678423,26.968635756068547,338264
2002-09-16,26.62086296081543,27.556525251625718,26.413857805599136,27.407482550637347,288592
2002-09-17,27.399202346801758,27.573087185789525,27.010034163934172,27.101114412382504,462952
2002-09-18,26.554616928100586,27.324674938322524,26.331050395110793,27.24187289305488,315432
2002-09-19,26.331052780151367,27.20875504487337,25.99984456908028,26.331052780151367,490848
2002-09-20,25.900484085083008,26.281374077170373,25.279468617631352,25.38711281480735,501072
2002-09-23,25.461637496948242,26.148893693415445,25.353995812606687,26.082653045654297,248504
2002-09-24,24.60049057006836,25.370548655906855,24.32724227770254,25.370548655906855,267912
2002-09-25,24.790937423706055,25.006223295207423,23.84699440072761,24.029159952056105,379544
2002-09-26,25.180103302001953,25.577552121631896,25.006218495819613,25.304306374001055,178136
2002-09-27,25.486474990844727,25.834244679996708,25.09730679547025,25.09730679547025,206288
2002-09-30,24.559091567993164,25.486473126357417,24.02915888793954,25.097304959452913,202232
2002-10-01,24.352094650268555,25.006230641806134,23.92980349497342,24.67502228893453,240192
