Price,Close,High,Low,Open,Volume,EMA20,EMA50,EMA100,EMA200
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
Date,,,,,,,,,
2002-08-12,26.297945022583008,26.496669538739688,25.652087186424634,25.652087186424634,212976,26.297945022583008,26.297945022583008,26.297945022583008,26.297945022583008
2002-08-13,25.941883087158203,26.753344750642896,25.7514393694696,26.331053760422293,153576,26.26403436206636,26.283981809429093,26.290894291188454,26.294402117752913
2002-08-14,24.153366088867188,25.999851335355842,23.664831828865292,25.999851335355842,822776,26.063018336047392,26.20042825176,26.24856700005338,26.273098276669476
2002-08-15,24.153366088867188,24.153366088867188,24.153366088867188,24.153366088867188,0,25.8811466934588,26.120151304195574,26.2070778730992,26.25200641410428
2002-08-16,24.095401763916016,25.171828646840098,23.68139142432983,24.029161120349656,811856,25.71107574778806,26.040749361439513,26.165262504600523,26.23054766136609
2002-08-19,23.499229431152344,24.294129909201505,23.275665329991586,24.294129909201505,205880,25.500423717632277,25.94108191319296,26.11246977047284,26.20337036554307
2002-08-20,24.153366088867188,25.65208161245937,23.50750839304785,23.664831828865292,3773624,25.372132514892744,25.870975410278223,26.073675638163817,26.182972313038835
2002-08-21,25.337434768676758,25.96673103955706,24.19476715262159,25.486477491842642,3011064,25.36882796763408,25.85005224786248,26.059096611045263,26.174559004139713
2002-08-22,26.430419921875,27.539967077546578,26.041249209095692,26.173733017291955,6732480,25.46993196327607,25.87281176449042,26.066449547893377,26.177104883918172
2002-08-23,28.020206451416016,28.897908474949837,26.33932625289507,26.6622536645669,4841672,25.712815247860828,25.95702332084045,26.105137803408677,26.195444202997752
2002-08-26,27.920862197875977,28.64951948617885,27.69729557262088,28.467353900643666,2576912,25.923105433576556,26.03403661013596,26.141092741912978,26.212612541255247
2002-08-27,27.225322723388672,29.31193613713902,26.9934779116026,28.152707024370812,3694224,26.047126127844376,26.08075371261646,26.16256264253626,26.22268925948543
2002-08-28,27.250154495239258,27.5565205566104,26.687099052831964,27.142510316715907,1674960,26.16170025807246,26.12661256683696,26.18409911486701,26.23291279416955
2002-08-29,27.250154495239258,27.738686072931166,26.993467641121075,27.084550399281458,1236544,26.265362566374062,26.170673034617444,26.205209122399136,26.243034602140394
2002-08-30,29.179447174072266,29.89154543780818,27.32468142514321,27.332962137019376,3762384,26.542894433773892,26.288664177341165,26.264104925402563,26.272252637682005
2002-09-02,29.4775333404541,30.454596637038897,29.17944541926809,29.643137460344292,2389568,26.822383853457723,26.413717870012263,26.327737171245168,26.304145978008094
2002-09-03,28.094738006591797,29.767340632893042,27.821492218781813,29.643137542630623,986784,26.94356043947049,26.4796402283095,26.362727286796584,26.321962814113405
2002-09-04,28.707487106323242,28.980733006762105,27.41577392978083,27.738701592186587,1449856,27.111553455361232,26.567006772545334,26.409158174311962,26.345699374234897
2002-09-05,28.53359031677246,29.717658761323932,28.15270033625128,29.58517496024026,1061360,27.246985537400395,26.644127695848358,26.451226137528998,26.367469433364626
2002-09-06,27.473726272583008,28.649516696923648,27.167360124634165,28.649516696923648,907472,27.268579893132074,26.676660973367365,26.47147366495581,26.37847696410312
